chapter,section_number,section_title,text,
1,1,Introduction,"According to the ancient and revered custom, Hemadpant begins
the work, Shri Sai Satcharita, with various salutations.
(1) First, he makes obeisance to the God Ganesh1 to remove all
obstacles and make the work a success, and says that Sri Sai is God
Ganesh Himself.
(2) Then, to goddess Saraswati2 to inspire him to write the work
and says that Shri Sai is one with this Goddess, and that He is Himself
singing His own life.
(3) Then, to the Gods; Brahma, Vishnu and Shankar – the Creating,
Preserving and Destroying deities respectively, and says that Sainath is
one with them and He, the great teacher, will carry us across the river
of worldly existence.
(4) Then, to his tutelary deity Narayan Adinath, who manifested
himself in Konkan – the land reclaimed by Parashurama3, (Ram in the
Hindi version) from the sea; and to the Adi (Original) Purush4 of the
family.
(5) Then, to Bharadwaj Muni, into whose gotra (clan) he was born
and also to various Rishis, Yagnyavalkya, Bhrugu, Parashar, Narad,
Vedavyas, Sanak, Sanandan, Sanatkumar, Shuka, Shounak,
Vishwamitra, Vasishtha, Valmiki, Vamadev, Jaimini, Vaishampayan,
Nava Yogindra etc; and also modern saints, such as Nivrutti, Dnyanadev,
Sopan, Muktabai, Janardan, Eknath, Namdev, Tukaram, Kanha, and
Narahari etc.
(6) Then, to his grandfather, Sadashiv, father Raghunath, his
mother, who left him in his infancy; to his paternal aunt, who brought
him up, and to his loving elder brother.
(7) Then, to the readers and prays to them to give their whole and
undivided attention to his work.
(8) And lastly, to his Guru Shri Sainath – an Incarnation of Shri
Dattatreya, Who is his sole refuge and Who will make him realize, that
Brahma is the reality and the world an illusion; and incidentally, to all
beings, in whom the Lord God dwells.
After describing in brief the various modes of devotion according
to Parashar, Vyasa and Shandilya etc., the author goes on to relate the
following story :
“It was some time after 1910 that I went, one fine morning, to the
Masjid in Shirdi to have darshan of Sai Baba. I was wonder-struck to
see the following phenomenon. After washing His mouth and face, Sai
Baba began to make preparations for grinding wheat. He spread a sack
on the floor, and thereon set a hand-mill. He took some quantity of
wheat in a winnowing fan, and then, drawing up the sleeves of His
kafni (robe), and taking hold of the peg of the hand-mill, started grinding
the wheat, by putting a few handfuls of wheat in the upper opening of
the mill and rotated it. I thought, “What business Baba had with the
grinding of wheat, when He possessed nothing and stored nothing,
and as He lived on alms!” Some people who had come there thought
likewise, but none had the courage to ask Baba, what He was doing.
Immediately, this news of Baba grinding wheat spread into the village,
and at once men and women ran to the Masjid and flocked there to see
Baba’s act. Four bold women, from the crowd, forced their way up and
pushing Baba aside, forcibly took the peg or handle into their hands,
and singing Baba’s Leelas started grinding. At first, Baba was enraged,
but on seeing the women’s love and devotion, He was much pleased
and began to smile. While they were grinding, they began to think that
Baba had no house, no property, no children, none to look after and He
lived on alms, and therefore, He did not require any wheat-flour for
making bread or roti, what will He do with this large quantity of flour?
Perhaps, as Baba is very kind, He will distribute the flour amongst us.
Thinking in this way and while singing, they finished the grinding and
after putting the hand-mill aside, they divided the flour into four portions
and began to remove them by taking one portion per head. Baba, Who
was calm and quiet up till now, got wild and started abusing them
saying, “Ladies, have you gone mad? Whose father’s property are you
looting away? Have I borrowed any wheat from you, so that you can
safely take the flour? Now, do this! Take the flour and throw it on the
village borders!” On hearing this, the women felt abashed and
whispering amongst themselves, went to the outskirts of the village and
spread the flour, as directed by Baba.
I asked the Shirdi people, “What was this that Baba did?” They
replied that, as cholera epidemic was spreading in the village this was
Baba’s remedy for the same; it was not wheat, that was ground, but
cholera itself was ground to pieces and pushed out of the village. From
this time onward, the cholera epidemic subsided and the people of the
village were happy. I was much pleased to know all this, but at the
same time my curiosity was also aroused. I began to ask myself ... What
earthly connection was there between wheat flour and cholera? What
was the causal relation between the two, and how to reconcile them?
The incident seems to be inexplicable. I should write something on this
and sing to my heart’s content Baba’s sweet leelas, thinking in this way
about this leela, my heart was filled with joy and I was thus, inspired
to write Baba’s life – The Sai Satcharita.
And as we know, with Baba’s grace and blessings this work was
successfully accomplished.
",
1,2,Philosophical Significance of Grinding,"Sattva, Rajas and Tamas, and the Ahankar, which is so subtle and
therefore, so difficult to get rid of.
This reminds us of a similar story of Kabir, who seeing a woman
grinding corn, said to his Guru, Nipatniranjan, “I am weeping, because
I feel the agony of being crushed under this wheel of worldly existence,
like the corn in the hand-mill.” Nipatniranjan replied, “Do not be
afraid, hold fast to the handle of knowledge of this mill, as I do, and
do not wander far away from the same, but turn inward to the centre,
and you are sure to be saved.”
Bow to Shri Sai — Peace be to all",
2,1,Introduction,"In the last chapter, the author mentioned in the original Marathi
book that he would state the reason that led him to undertake the work,
and about the persons qualified to read the same, and such other
points. Now, in this chapter, he narrates the same.",
2,2,The Object of Writing this Work,"In the first chapter, I described Sai Baba’s miracle of checking and
destroying the cholera epidemic by grinding wheat and throwing the
flour on the outskirts of the village. I heard other miracles of Sai Baba
to my great delight, and this delight burst forth into this poetic work.
I also thought that, the description of these miracles of Sai Baba would
be interesting and instructive to His devotees, and would remove their
sins, and so I began to write the sacred life and teachings of Sai Baba.
The life of the saint is neither logical nor dialectical. It shows us the true
and great path.",
2,3,Incapacity and Boldness in Undertaking the Work,"Hemadpant thought that, he was not a fit person to undertake the
work. He said, “I do not know the life of my intimate friend nor do I
know my own mind, then, how can I write the life of a saint or describe
the nature of Incarnations, which even the Vedas were unable to do?
One must be a saint himself before he could know other saints, otherwise,
how can I describe their glory? To write the life of a saint is most
difficult, one may as well be able to measure the depth of the seven seas
or enclose the sky with cloth-trappings. I knew, this was the most
venturous undertaking, which might expose me to ridicule. I, therefore,
invoked Sai Baba’s grace.
The premier poet – saint of Maharashtra, Shri Dnyaneshwar
Maharaj has stated that, the Lord loves those who write the lives of
saints, and the saints also have their own peculiar method of assigning
the service, which the devotees long for. The saint inspires the work, the
devotee becomes only an indirect cause or an instrument in achieving
the end. For instance, in 1700 Shaka year1, the poet Mahipati aspired
to write the lives of saints. Saints inspired him, and got the work done,
so also, in 1800 Shaka year2 Das Ganu’s service was accepted. The
former wrote 4 works – Bhakta Vijay, Sant Vijay, Bhakta Leelamrut and
Sant Leelamrut, while the latter wrote two – ‘Bhakta Leelamrut and
Sant Kathamrut’, in which the lives of modern saints were described.
In chapters 31, 32, 33 of Bhakta Leelamrut and in chapter 57 of Sant
Kathamrut, the life and teachings of Sai Baba are very well depicted.
These have been separately published in Sai Leela Magazine, Nos. 11
and 12, Vol. 17; the readers are advised to read these chapters. So also,
Sai Baba’s wonderful Leelas are described by Mrs. Savitribai Raghunath
Tendulkar of Bandra in a small book, named Sri Sainath Bhajan Mala.
Das Ganu Maharaj also has composed various sweet poems on Sai
Baba. A devotee, named Amidas Bhavani Mehta, has also published
some stories of Sai Baba in Gujarati; some nos. of Sainath Prabha, a
magazine published by Dakshina Bhiksha Sanstha of Shirdi, are also
published. Then, the question of objection comes in, that while so many
works regarding Sai Baba are extant, why should this (Satcharita) be
written; and where is its necessity?
The answer is plain and simple. The life of Sai Baba is as wide
and deep as the infinite ocean, and all can dive deep into the same and
take out precious gems (of knowledge and bhakti) and distribute them
among the aspiring people. The stories, parables and teachings of Sai
Baba are very wonderful. They will give peace and happiness to the
people, who are afflicted with sorrows and heavily loaded with miseries
of this worldly existence, and also bestow knowledge and wisdom, both
in worldly and in spiritual domains. If these teachings of Sai Baba,
which are as interesting and instructive as the Vedic lore, are listened
to and meditated upon, the devotees will get what they long for, viz.,
union with Brahma, mastery in eight-fold Yoga, bliss of meditation etc.
So, I thought that I should call these stories together, that would be my
best Upasana. This collection would be most delightful to those simple
souls, whose eyes were not blessed with Sai Baba’s darshan. So, I set
about collecting Sai Baba’s teachings and expressions – the outcome of
His boundless self-realization. It was Sai Baba, Who inspired me in this
matter, in fact, I surrendered my ego at His feet and thought that, my
path was clear; and that He would make me quite happy here, and in
the next world.
I could not myself ask Sai Baba to give me permission for this
work, so I requested Mr. Madhavrao Deshpande alias Shama, Baba’s
most intimate devotee, to speak to Him for me. He pleaded my cause
and said to Sai Baba, “This Annasaheb wishes to write Your biography,
don’t say that You are a poor Fakir, and there is no necessity to write
it; but if You agree and help him, he will write or rather, Your grace will
accomplish the work. Without Your consent and blessing, nothing can
be done successfully.” When Sai Baba heard this request, He was
moved and blessed me by giving me His Udi (sacred ash) and placing
His boon-bestowing hand on my head said, “Let him make a collection
of stories and experiences, keep notes and memos, I will help him. He
is only an outward instrument. I should write My autobiography
Myself and satisfy the wishes of My devotees. He should get rid of his
ego, surrender it at My feet. He, who acts like this in life, him I help the
most. What of My life-stories? I serve him in his house in all possible
ways. When his ego is completely annihilated and there is left no trace
of it, I Myself shall enter into him and shall Myself write My own life.
Hearing my stories and teachings will create faith in devotees’ hearts
and they will easily get self-realization and bliss; let there be no
insistence on establishing one’s own view, no attempt to refute other’s
opinions, no discussion of pros and cons of any subject.”",
2,4,Significant and Prophetic Title,"The word ‘discussion’ put me in mind of my promise to explain the
story of my getting the title of ‘Hemadpant’ and now, I begin to relate the
same. I was on close friendly terms with Kakasaheb Dixit and Nanasaheb
Chandorkar. They pressed me to go to Shirdi and have Baba’s darshan,
and I promised them to do so. But, something in the meanwhile turned
up, which prevented me from going to Shirdi. The son of a friend of mine
at Lonavala fell ill. My friend tried all possible means, physical and
spiritual, but the fever would not abate. At length, he got his Guru to sit
by the bed-side of his son, but this too was of no avail. Hearing this, I
thought... “What was the utility of the Guru, if he could not save my
friend’s son? If the Guru can’t do anything for us, why should I go to
Shirdi at all?” Thinking this way, I postponed my Shirdi-trip, but the
inevitable must happen, and it happened in my case as follows ... Mr.
Nanasaheb Chandorkar, who was a Divisional officer, was going on tour
to Bassein. From Thana he came to Dadar and was waiting for a train
bound for Bassein. Meanwhile, a Bandra Local turned up. He sat in it and
came to Bandra, and sent for me and took me to task for putting off my
Shirdi trip. Nana’s argument for my Shirdi trip was convincing and
delightful, and so I decided to start for Shirdi the same night. I packed up
my luggage and started for Shirdi. I planned to go to Dadar and from there
to catch the train for Manmad and so, I booked myself for Dadar and sat
in the train. While the train was to start, a Mohammeden came hastily to
my compartment and seeing all my paraphernalia, asked me where I was
bound to. I told him about my plan. He, then, suggested that I should go
straight to Boribunder, and not to wait at Dadar, as the Manmad Mail did
not stop at Dadar. If this little miracle or Leela had not happened, I would
not have reached Shirdi next day, as settled, and many doubts would
have assailed me. But, that was not to be. As fortune favoured me I
reached Shirdi the next day before 9 or 10 a.m. Bhausaheb (Kaka) Dixit
was waiting for me there. This was in 1910, when there was only one
place, viz., Sathe’s Wada, for lodging pilgrim devotees. After alighting
from the tonga I was anxious to have darshan, when the great devotee,
Tatyasaheb Noolkar returned from the Masjid and said that Sai Baba was
at the corner of the Wada and that, I should first get the preliminary
darshan and then, after bath see Him at leisure. Hearing this I ran and
prostrated before Baba and my joy knew no bounds. I found more than
what Nana Chandorkar had told me. All my senses were satisfied and I
forgot my thirst and hunger. The moment I touched Sai Baba’s feet, I began
a new lease of life. I felt myself much obliged to those, who spurred and
helped me to get the darshan, and I considered them as my real relatives,
and I cannot repay their debt. I only remember them and prostrate (mentally)
before them. The peculiarity of Sai Baba’s darshan, as I found it, is that
by His darshan our thoughts are changed, the force of previous actions
is abated and gradually non-attachment or dispassion towards worldly
objects grows up. It is by the merit of actions in many past births, that such
darshan is got; and if only you see Sai Baba, all the world assumes the
form of Sai Baba.",
2,5,Hot Discussion,"On the first day of my arrival in Shirdi, there was a discussion
between me and Balasaheb Bhate regarding the necessity of a Guru, I
contended, “Why should we lose our freedom and submit to others?
When we have to do our duty, why a Guru is necessary? One must try
his best and save himself. What can the Guru do to a man, who does
nothing but sleeps indolently?” Thus, I pleaded freewill, while Mr.
Bhate took up the other side, viz. destiny, and said, “Whatever is bound
to happen, must happen, even great men have failed; man proposes one
way, but God disposes the other way. Brush aside your cleverness,
pride or egoism won’t help you.” This discussion, with all its pros and
cons went on for an hour or so, and as usual no conclusion was arrived
at. We had to stop the discussion ultimately, as we were exhausted. The
net result of this was, that I lost my peace of mind and found that,
unless there is strong body-consciousness and egoism, there would be
no discussion, in other words, it is egoism which breeds discussion.
Then, when we went to the Masjid with others, Baba asked
Kakasaheb Dixit the following :
“What was going on in the (Sathe’s) Wada? What was the
discussion about?”, and staring at me, Baba further added, “What did
this ‘Hemadpant’ say?”
Hearing these words, I was much surprised. The Masjid was at
a considerable distance from Sathe Wada, where I was staying and
where the discussion was going on. How could Baba know our
discussion, unless, He be Omniscient and Inner Ruler of us all?
I began to think, why Sai Baba should call me by the name
‘Hemadpant’. This word is a distorted form of ‘Hemadripant’. This
Hemadripant was a wellknown minister of the kings, Mahadev and
Ramdev of Devgiri of the Yadav dynasty. He was very learned, goodnatured
and the author of works, such as Chaturvarga Chintamani
(dealing with spiritual subjects) and Rajprashasti. He invented and
started new methods of accounts and was the originator of the Moodhi
(Marathi shorthand) script. But, I was quite the opposite, an ignoramus
and of mediocre intellect. So, I could not understand, why the name or
title was conferred upon me, but thinking seriously upon it, I thought
that, the title was a dart to destroy my ego, so that, I should always
remain meek and humble. It was also a compliment paid to me for the
cleverness in the discussion.
Looking into history, we think that, Baba’s word (calling Mr.
Dabholkar by the name ‘Hemadpant’) was significant and prophetic, as
we find that, he looked after the management of Sai Sansthan very
intelligently, kept all the accounts properly and was also the author of
such a good work ‘Sai Satcharita’, which deals with such important
and spiritual subjects as Dhyan, Bhakti, dispassion, self-surrender and
self-realization.",
2,6,About the Necessity of a Guru,"Hemadpant has left no note, no memo about what Baba said
regarding this subject, but Kakasaheb Dixit has published his notes
regarding this matter. Next day, after Hemadpant’s meeting with Sai
Baba, Kakasaheb went to Baba and asked, “Baba, where to go?” Baba
said, “High up.” Then, the man said, “Where is the way?” Baba said,
“There are many ways leading there; there is one way from here (Shirdi)
also. The way is difficult. There are tigers and wolves in the jungles on
the way.” I (Kakasaheb) asked, “But, Baba, what, if we take a guide with
us?” Baba answered, “Then, there is no difficulty. The guide will take
you straight to your destination, avoiding wolves, tigers and ditches etc
on the way. If there be no guide, there is the danger of your being lost
in the jungles or falling into ditches.” Mr. Dabholkar was present on
this occasion and he thought that, this was the answer Baba gave to the
question, whether Guru was a necessity (Vide Sai Leela, Vol. I, No. 5,
page 47); and he, thereupon took the hint that, no discussion whether
man is free or bound, is of any use in spiritual matters, but on the
contrary real Paramartha is possible, only as the result of the teachings
of the Guru; as is illustrated in this chapter of the original work, in the
instances of great Avatars like Ram and Krishna, who had to submit
themselves to their Gurus, Vasishtha and Sandipani respectively, for
getting self-realization and that, the only virtues necessary for such
progress are faith and patience. (vide Sai Satcharita, Ch. II, 191-92)
Bow to Shri Sai — Peace be to all",
3,1,Sai Baba's Sanction and Promise,"As described in the previous chapter, Sai Baba gave His complete
assent to the writing of the Satcharita and said, “I fully agree with you
regarding the writing of Satcharita. You do your duty, don’t be afraid
in the least, steady your mind and have faith in My words. If My Leelas
are written, the Avidya (nescience) will vanish and if they are attentively
and devoutly listened to, the consciousness of the worldly existence
will abate and strong waves of devotion and love will rise up and if one
dives deep into My Leelas, he would get precious jewels of knowledge.”
Hearing this, the author was much pleased, and he, at once,
became fearless and confident, and thought that the work was bound
to be a success. Then, turning to Shama (Madhavrao Deshpande) Sai
Baba said, “If a man utters My name with love, I shall fulfill all his
wishes, increase his devotion. And if he sings earnestly My life and My
deeds, him I shall beset in front and back and on all sides. Those
devotees, who are attached to Me, heart and soul, will naturally feel
happiness, when they hear these stories. Believe Me that, if anybody
sings My Leelas, I will give him infinite joy and ever-lasting
contentment. It is My special characteristic to free any person, who
surrenders completely to Me, and who worships Me faithfully, and
who remembers Me, and meditates on Me constantly. How can they
be conscious of wordly objects and sensations, who utter My name,
who worship Me, who think of My stories and My life, and who thus,
always remember Me! I shall draw out My devotees from the jaws
of death. If My stories are listened to, all the diseases will be got rid
of. So, hear My stories with respect, and think and meditate on them,
assimilate them. This is the way of happiness and contentment. The
pride and egoism of My devotees will vanish, the mind of the hearers
will be set at rest; and if he has wholehearted and complete faith, he
will be one with Supreme Consciousness. The simple remembrance of
My name as “Sai, Sai” will do away with sins of speech and hearing.”",
3,2,Different Works Assigned to Devotees,"The Lord entrusts different works to different devotees. Some are
given the work of building temples and Maths, or Ghats (flight of steps)
on rivers; some are made to sing the glories of God, some are sent on
pilgrimages, but to me was allotted the work of writing the Sai Satcharita.
Being a jack of all trades, but master of none, I was quite unqualified
for this job. Then, why should I undertake such a difficult task? Who
can describe the true life of Sai Baba? Sai Baba’s grace alone can enable
one to accomplish this difficult work. So, when I took the pen in my
hand, Sai Baba took away my egoism and Himself wrote His stories.
The credit of relating these stories, therefore, goes to Him and not to
me. Though, Brahmin by birth, I lacked the two eyes (i.e. the sight or
vision) of Shruti and Smruti and therefore, was not at all capable of
writing the Satcharita, but the grace of the Lord makes a dumb man talk,
enables a lame man to cross a mountain. He alone knows the ways of
getting things done, as He likes. Neither the flute, nor the harmonium
knows, how the sounds are produced. This is the concern of the player.
The oozing of Chandrakant jewel and the surging of the sea are not, due
to the jewel and the sea, but due to the rising of the moon.",
